ID,disparity
ABPLAAPAAP,17.2
ABPRAAPAAP,17.3
ABARPPAAAA,14
ABARPPPAAA,14.6
ABPLAAAPPA,16
ABARPAPPPA,12.4
ABPLAAAPPP,16
ABARPAPPPP,15.1
ABARPPAAAP,15.2
ABARPPPAAP,16.9
ABPLAPAAPP,15.6
ABPRAPAAPP,15.9
ABPLAPAPPA,13.6
ABPRAPAPPA,13
ABPLAPPAAA,15.1
ABPRAPPAAA,15.5
ABPLAPPAAP,15
ABPRAPPAAP,15.7
ABPLAPPAPP,14
ABPRAPPAPP,13.5
ABPLAPAPAP,13.5
ABPRAPAPAP,13.6
ABPLAPAPAAA,14.8
ABPRAPAPAAA,14.8
ABARPPAPAA,14.5
ABARPPPPAA,15.3
ABARPPAPAP,15.3
ABARPPPPAP,15.4
ABPLAPPAPA,14.8
ABPRAPPAPA,15.8
ABARPPAPPA,15.4
ABARPPPPPA,15.7
ABPLAPAPAAP,14.9
ABPRAPAPAAP,15.5
ABARPPAPPP,15.7
ABARPPPPPP,15.6
MSPPPAPP,15.4
MSAPAPPA,15.7
MSPPAPPA,15.9
MSAPPAPP,15.4
MSAPAPAP,15.8
MSPPAAAP,15.4
MSAPAAAP,15.4
MSPPAPAP,16.5
MSPPPPPA,16.7
MSAPPPPA,16.7
DAAPA,15.4
DPAPA,15.3
MSPPPPAA,16.5
MSAPAPPP,14.1
MSAPPPAA,15.7
MSPPAPPP,14.9
MSPPPPPP,12.7
DAAPP,12.6
MSAPPPPP,13.9
DPAPP,12.6
DPAAA,12.2
MSAPPPAP,13.6
MSPPPPAP,13.2
DAAAA,12.4
MSPAPPPAA,16.9
DPPPAA,15.9
DAPPAA,15.4
MSAAPPPAA,17.9
DPPAA,15.9
DAPAA,15.6
DAAAP,14.3
DPAAP,15
MSPAPPPAP,14.8
MSAAPPPAP,13
DAPPAP,13.3
DPPPAP,13
DPPAP,12.9
CAPAAAA,15.2
DAPAP,13.4
CPPAAAA,14.9
DAPPPA,13.7
MSPAPPPPA,16.2
MSAAPPPPA,15.6
DPPPPA,14.1
CPPPAAA,12
CPPAAAP,14.9
CAPAAAP,15.4
CAPPAAA,12.7
DAPPPP,14.2
DPPPPP,13.3
MSAAPPPPP,15.8
MSPAPPPPP,16.5
CPPAAPA,14.2
CPPAPAA,12.4
CAPAPAA,12.3
CAPAAPA,14.9
MSPAPPAP,13.4
MSPAPPAA,12.9
CAPAAPP,15.3
CPPAAPP,14.6
CPPPAAP,12.5
CAPPAAP,12.5
CAPAPAP,14.4
