"cell","x1","y1","z1","Xnorm","Ynorm","Znorm"
"x_00000",-2.26771,-0.0227839,-15.7313,-0.0554346215493124,-0.500528940489291,-0.449973362476863
"x_00001",14.4839,4.57288,12.6292,0.333463011858775,-0.393838131984975,0.208430894324129
"x_00002",-16.8575,4.34873,9.44949,-0.394144441257447,-0.399041894759325,0.134612216959742
"x_00003",-3.10725,3.87748,-15.5927,-0.0749249940658303,-0.409982216898126,-0.446755688952327
"x_00004",11.0408,4.28319,-8.69356,0.253529594020884,-0.400563441099859,-0.286588444218771
"x_00005",-9.86575,6.10027,3.41203,-0.231827205577951,-0.358378951864904,-0.00555066325272642
"x_00006",-6.91523,-6.18093,-16.5198,-0.163329297297897,-0.64349361340558,-0.468278813949425
"x_00007",-10.1903,-2.91645,-15.9608,-0.239361808336886,-0.567706954910783,-0.455301328377881
"x_00008",-6.00198,3.31304,-15.5197,-0.142127707497876,-0.42308599499473,-0.445060954700587
"x_00009",12.1839,-0.887646,-10.9999,0.280067275160117,-0.520607179172877,-0.340131367426416
"x_00010",9.13072,0.821575,-14.7545,0.209186059780288,-0.480926694618174,-0.42729642525632
"x_00011",-0.949224,-6.3008,-16.2743,-0.0248252601158922,-0.646276459909088,-0.462579399445285
"x_00012",0.835114,-6.31982,-16.1019,0.016599105983851,-0.646718019436048,-0.458577040746656
"x_00013",3.00998,-5.3949,-15.7397,0.067089789588574,-0.625245504311125,-0.450168372993502
"x_00014",-7.41399,-5.40809,-15.2378,-0.17490827887869,-0.625551717253323,-0.438516494624347
"x_00015",-4.75743,5.43636,-15.5446,-0.113234810059478,-0.373791979496037,-0.445639021589194
"x_00016",9.79847,3.93204,-14.7575,0.22468823507617,-0.408715577161483,-0.427366071869405
"x_00017",4.26741,-5.7697,-15.0484,0.096281703152484,-0.633946687839237,-0.434119471784901
"x_00018",-1.22217,-7.89416,2.21837,-0.0311618482676104,-0.683267169050902,-0.0332621219778219
"x_00019",-10.5891,-2.85587,20.0671,-0.248620164769679,-0.566300557637215,0.381105742146279
"x_00020",9.98671,5.10504,13.6917,0.22905832789189,-0.381483751445167,0.233097403125139
"x_00021",-10.0424,-5.35042,1.03253,-0.235928230311785,-0.624212877194449,-0.060792035198142
"x_00022",14.8292,-4.0538,2.07667,0.341479337024882,-0.594111146708269,-0.0365517636692132
"x_00023",6.58574,-5.38913,-15.0153,0.150102980657092,-0.625111550658625,-0.433351037487194
"x_00024",1.50104,7.15106,4.89293,0.0320589361389772,-0.333984297010303,0.0288292265199006
"x_00025",6.414,6.03238,-15.1516,0.146115944213341,-0.359955054719022,-0.436515315275032
"x_00026",-1.33944,-8.82376,-8.37495,-0.0338843343731111,-0.704848332892238,-0.279191741753746
"x_00027",-8.78637,-5.88432,0.269531,-0.206768818500648,-0.636607652769846,-0.0785054672439417
"x_00028",-5.51298,2.52029,-15.562,-0.130775309564988,-0.441490112502496,-0.446042971945088
"x_00029",4.23217,6.2884,-15.3518,0.0954635876041098,-0.354011412758331,-0.441163065921585
"x_00030",-8.98452,4.31891,-13.2881,-0.211368977294926,-0.399734182093392,-0.393253160780272
"x_00031",-14.1699,-2.5026,18.5721,-0.33175036214818,-0.558099204635679,0.346398513292151
"x_00032",7.10822,0.0547944,-14.9722,0.162232634792012,-0.498727918541321,-0.432350447812537
"x_00033",11.3687,2.13932,-14.5708,0.261141968831097,-0.450334535898186,-0.423031730981736
"x_00034",-7.23623,1.45075,-15.5532,-0.170781484898014,-0.466320058688879,-0.445838675213371
"x_00035",-5.76706,6.76873,8.24373,-0.136673913382551,-0.342860293537259,0.106619850228536
"x_00036",-7.68955,4.3487,-15.0114,-0.181305552445943,-0.399042591225455,-0.433260496890183
"x_00037",8.11424,2.67663,-14.8917,0.185587930024005,-0.437860595339249,-0.430481597028084
"x_00038",-6.7352,2.11265,-15.5367,-0.159149804046654,-0.450953694288513,-0.445455618841403
"x_00039",-7.20264,0.814901,-15.5945,-0.170001674986837,-0.481081635116751,-0.446797476920178
"x_00040",-17.4306,4.11502,9.94291,-0.40744926591049,-0.404467598074039,0.146067227569243
