ID,disparity
x79_T3_a6Bppd,4.2
x79_T3_a6Bppp,4.9
x79_T3_a6Bpdp,3.4
x79_T3_a6Bpdd,3.8
x79_T3_a6Bddp,4.2
x79_T3_a6Bddd,3.6
x79_T3_a6Bdpd,3.4
x79_T3_a6Bdpp,3.2
x79_T3_a6Tddd,5.3
x79_T3_a6Tddp,4.7
x79_T3_a6Tdpd,4.5
x79_T3_a6Tdpp,4.9
x79_T3_a6Tpdp,3.3
x79_T3_a6Tpdd,3.5
x79_T3_a6Tppd,3.8
x79_T3_a6Tppp,5
x79_T3_b6pPd,3.6
x79_T3_b6pPp,3.6
x79_T3_b6pAd,3.6
x79_T3_b6pAp,4.2
x41_T2_b3PAp,5
x41_T2_b3PAd,5
x88_T2_c7ddd,5.1
x88_T2_c7ddp,4.2
x88_T2_c7dpp,5.2
x88_T2_c7dpd,4.2
x88_T2_d7Add,4.7
x88_T2_d7App,4.6
x88_T2_d7Apd,4.5
x88_T2_d7Pdp,4
x88_T2_d7Pdd,5.4
x88_T2_d7Pppp,5
x88_T2_d7Pppd,4.9
x88_T2_d7Ppdp,4.9
x88_T2_d7Ppdd,5.9
x69_T3_a5Adpd,3.4
x69_T3_a5Adpp,3.9
x69_T3_a5Addd,5.7
x69_T3_a5Addp,4.7
x69_T3_a5Apdp,3.1
x69_T3_a5Apdd,5.4
x69_T3_a5Appd,4.1
x69_T3_a5Appp,5.2
x69_T3_a5Ppd,4.8
x69_T3_a5Ppp,5.8
x69_T3_a5Pdp,3.9
x69_T3_a5Pdd,4.2
x69_T3_b5AAP,4.2
x69_T3_b5AAA,4.7
x69_T3_b5APp,4.5
x69_T3_b5APd,4
x68_T2_c5ALdp,5.4
x68_T2_c5ALdd,4.7
x68_T2_c5ALpA,4.4
x68_T2_c5ALpP,5.5
x68_T2_c5AMPA,5
x68_T2_c5AMPPd,5.9
x68_T2_c5AMPPp,5.9
x68_T2_c5AMAd,5.4
x68_T2_c5AMAp,6.2
x68_T2_c5PLApd,4.7
x68_T2_c5PLApp,5.3
x68_T2_c5PLAdp,4
x68_T2_c5PLAdd,4.7
x68_T2_c5PLPdp,3.9
x68_T2_c5PLPdd,5.1
x68_T2_c5PLPpp,4.7
x68_T2_c5PLPpd,4.5
x68_T2_c5PMAdd,5.6
x68_T2_c5PMAdp,5.4
x68_T2_c5PMApd,5.9
x68_T2_c5PMApp,4.6
x68_T2_c5PMPpd,5.8
x68_T2_c5PMPpp,5.4
x68_T2_c5PMPdd,6.4
x68_T2_c5PMPdp,4.8
x68_T2_d5MAddp,4.3
x68_T2_d5MAddd,5.2
x68_T2_d5MAdpp,3.5
x68_T2_d5MAdpd,4
x68_T2_d5MApd,3.6
x68_T2_d5MAppd,4.1
x68_T2_d5MAppp,4.6
x68_T2_d5MPPpd,3.5
x68_T2_d5MPPpp,3.1
x68_T2_d5MPPdp,3.1
x68_T2_d5MPPdd,5.3
x68_T2_d5MPAAd,5.7
x68_T2_d5MPAAp,7.2
x68_T2_d5MPAPp,4.6
x68_T2_d5MPAPd,4.8
x68_T2_d5LPddp,5
x68_T2_d5LPddd,4.2
x68_T2_d5LPdpd,4
x68_T2_d5LPdpp,4.6
x68_T2_d5LPpdp,4.1
x68_T2_d5LPpdd,4.4
x68_T2_d5LPppd,4.2
x68_T2_d5LPppp,4.8
x68_T2_d5LAppp,5
x68_T2_d5LAppd,4.3
x68_T2_d5LApdd,3.7
x68_T2_d5LApdp,4.1
x68_T2_d5LAddd,5.3
x68_T2_d5LAddp,4.4
x68_T2_d5LAdpp,4
x68_T2_d5LAdpd,4.4
x103_T3_b9d,4.5
x103_T3_a9dN,5.4
x102_T2_c9AAp,4.7
x102_T2_c9AAd,4.7
x102_T2_c9APp,3.5
x102_T2_c9APd,4.3
x102_T2_c9PAP,2.9
x102_T2_c9PAA,3
x102_T2_c9PPP,3.3
x102_T2_c9PPA,3
x102_T2_d9Pdp,2.9
x102_T2_d9Pdd,4.3
x102_T2_d9Ppp,4.3
x102_T2_d9Ppd,3.5
x102_T2_d9ApA,3.9
x102_T2_d9ApP,3.5
x102_T2_d9Add,4.7
x102_T2_d9Adp,3.8
x96_T3_a8Apd,3.3
x96_T3_a8App,3.9
x96_T3_a8Add,4.8
x96_T3_a8Adp,3.7
x96_T3_a8PpS,4
x96_T3_a8Pdp,4.4
x96_T3_a8Pdd,4.7
x96_T3_b8Ad,3.9
x96_T3_b8App,3.7
x96_T3_b8Apd,3.6
x78_T2_d6Addp,4.7
x78_T2_d6Addd,5.9
x78_T2_d6Adpd,3.8
x78_T2_d6Adpp,5.3
x78_T2_d6Appp,5.1
x78_T2_d6Appd,5.6
x78_T2_d6Apdd,5.6
x78_T2_d6Apdp,5.3
x78_T2_d6PAdp,5.5
x78_T2_d6PAdd,5.9
x78_T2_d6PAppd,3.7
x78_T2_d6PAppp,5.9
x78_T2_d6PApdp,4.1
x78_T2_d6PApdd,5.4
x78_T2_d6PPpdp,3
x78_T2_d6PPpdd,4.6
x78_T2_d6PPppd,4.4
x78_T2_d6PPppp,5.1
x78_T2_d6PPddp,4.4
x78_T2_d6PPddd,6
x78_T2_d6PPdpp,4.1
x78_T2_d6PPdpd,3
x78_T2_c6Ppdpp,4.9
x78_T2_c6Ppdpd,4.1
x78_T2_c6Ppddd,5.1
x78_T2_c6Ppddp,4.8
x78_T2_c6Pppd,4.8
x78_T2_c6Ppppp,5.9
x78_T2_c6Ppppd,5.8
x78_T2_c6Pdpp,5.1
x78_T2_c6Pdpd,4.2
x78_T2_c6Pddd,5.7
x78_T2_c6Pddp,4.3
x78_T2_c6Appd,4.3
x78_T2_c6Appp,5.1
x78_T2_c6Apdp,4.5
x78_T2_c6Apdd,4.9
x78_T2_c6Adpd,5.3
x78_T2_c6Adpp,5
x78_T2_c6Addp,6.2
x78_T2_c6Addd,5.1
x42_T2_c3PAdd,4.3
x42_T2_c3PAdpp,4.6
x42_T2_c3PAdpd,3.8
x42_T2_c3PApp,4.6
x42_T2_c3PApdd,5.2
x42_T2_c3PApdp,4.2
x42_T2_c3PPpA,3.7
x42_T2_c3PPpP,5.5
x42_T2_c3PPdP,5.5
x42_T2_c3PPdAP,4.2
x42_T2_c3PPdAA,4.4
x42_T2_c3ATdp,4.1
x42_T2_c3ATdd,4.9
x42_T2_c3ATpd,3
x42_T2_c3ATpp,4.8
x42_T2_c3ABpB,5.6
x42_T2_c3ABpTB,5
x42_T2_c3ABpTT,3.9
x42_T2_c3ABdd,3.3
x42_T2_c3ABdp,3.5
x42_T2_d3LMApp,4.5
x42_T2_d3LMApd,4
x42_T2_d3LMAdP,4.8
x42_T2_d3LMAdA,4
x42_T2_d3LMPpp,6.4
x42_T2_d3LMPpd,5.4
x42_T2_d3LMPdd,6
x42_T2_d3LMPdp,5.3
x42_T2_d3LLddT,4.4
x42_T2_d3LLddB,4.6
x42_T2_d3LLdpp,5.2
x42_T2_d3LLdpd,4.2
x42_T2_d3LLpBB,6.3
x42_T2_d3LLpBT,5.4
x42_T2_d3LLpTT,4.6
x42_T2_d3LLpTB,6.2
x42_T2_d3MLdddd,5.2
x42_T2_d3MLdddp,5.1
x42_T2_d3MLddp,5.8
x42_T2_d3MLdpp,3.4
x42_T2_d3MLpdp,4.6
x42_T2_d3MLpdd,2.8
x42_T2_d3MLppp,3.3
x42_T2_d3MLppd,4.6
x87_T2_b7Pdp,4.2
x87_T2_b7Pdd,4.7
xID350862,5
xID351009,5.7
x56_T3_b4ATdp,5.6
x56_T3_b4ATdd,5.6
x56_T3_b4ATpd,5.8
x56_T3_b4ATpp,6
x56_T3_b4ABAP,4.7
x56_T3_b4ABAA,4.2
x56_T3_b4ABPA,3.9
x56_T3_b4ABPP,4.6
x56_T3_a4ATdp,4.9
x56_T3_a4ATdd,5
x56_T3_a4ATpp,3.8
x56_T3_a4ATpd,4.2
x56_T3_a4ABpd,4.2
x56_T3_a4ABpp,3.9
x56_T3_a4ABdp,3.7
